suspected_spell_err,num_first_person_use,num_third_person_use,mention_of_emotion,mention_of_substance,mention_of_manic,mention_of_crime,mention_of_selfharm,mention_of_hospitalization,mention_of_societal,mention_of_therapy,mention_of_violence,mention_of_isolation,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,1,0,0,0,4,1,0,0,0,0,1
17,5,3,2,0,0,0,5,0,0,0,0,1,1
7,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,11,2,0,0,0,5,2,0,1,0,0,1
13,0,0,2,0,0,0,1,0,0,0,0,0,1
12,0,0,0,0,0,0,2,0,0,0,0,0,1
89,0,3,2,0,0,1,0,0,0,0,2,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,1,0,1
6,0,0,0,0,0,0,1,0,0,0,0,0,1
6,1,0,0,1,1,0,2,0,0,0,0,0,1
21,0,2,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,0,0,0
36,2,1,2,0,0,0,0,0,1,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0
30,1,1,3,0,0,0,4,0,0,0,2,0,1
